Days ,Mon,Tue,Wed,Thurs,Fri,Sat

8.00-8.30,,,DS,ITWS,BEC,

8.30-9.00,,,DS,ITWS,BEC,CP
9.00-9.30,,CO,DS,ITWS,BEC,CP
9.30-10.00,Comms-2C2,CO,,,place,CP
10.00-10.30,Comms-2C2,ITWS,DS,,place,CP
10.30-11.00,CO,ITWS,DS,,place,Comms-2A
11.00-11.30,,ITWS,DS,,,CNN
11.30-12.00,,,,,,CNN
12.00-12.30,Break,Break,Break,Break,Break,Break

12.30-1.00,Break,Break,Break,Break,Break,Break

1.00-1.30,Comms-2A,Comms-2C2,,,,

1.30-2.00,DEC,Comms-2C2,,,,BEC-LAB
2.00-2.30,DEC,,,ITWS,,BEC-LAB
2.30-3.00,DEC,DEC,ITWS,ITWS,,ITWS
3.00-3.30,DEC,DEC,ITWS,ITWS,,ITWS
3.30-4.00,,DEC,ITWS,BEC,CNN,ITWS
4.00-4.30,,DEC,CP,BEC,CNN,BEC-LAB
4.30-5.00,ITWS2-HW,,,BEC,,

5.00-5.30,ITWS2-HW,,,,Comms-2A,

5.30-6.00,ITWS2-HW,,,,Comms-2A,

