Days ,Mon,Tue,Wed,Thurs,Fri,Sat
8.00-8.30,,,004+,002+,001+013+,
8.30-9.00,,,004+,002+,001+013+,011+
9.00-9.30,,014+,004+,002+,001+013+,011+
9.30-10.00,014+006+,014+,,,013+,011+
10.00-10.30,014+006+,002+014+,004+,,013+,011+012+
10.30-11.00,014+,002+,004+006+,,013+,012+
11.00-11.30,,002+,004+006+,,,005+
11.30-12.00,,,,,,005+
12.00-12.30,Break,Break,Break,Break,Break,Break
12.30-1.00,Break,Break,Break,Break,Break,Break
1.00-1.30,012+,006+,,,,
1.30-2.00,007+012+,006+,,,,003+
2.00-2.30,009+007+,,,002+,,003+
2.30-3.00,009+007+,007+,002+011+,002+010+,,002+003+
3.00-3.30,009+007+,007+,002+011+,002+010+,,002+003+
3.30-4.00,,007+,002+011+,001+010+,005+,002+003+
4.00-4.30,,007+,011+,001+,005+,003+
4.30-5.00,008+,,,001+,,
5.00-5.30,008+,,,,012+,
5.30-6.00,008+,,,,012+,
