Days ,Mon,Tue,Wed,Thurs,Fri,Sat

8.00-8.30,,,Comms-2A,Math2-Calc,,

8.30-9.00,,,Comms-2A,Math2-Calc,,

9.00-9.30,,DS,,Math2-Calc,,

9.30-10.00,,DS,,,ITWS2-HW,

10.00-10.30,,DS,,,ITWS2-HW,

10.30-11.00,,DS,,,ITWS2-HW,Math2-LA
11.00-11.30,,,,,,Math2-LA
11.30-12.00,,,,,,Math2-LA
12.00-12.30,Break,Break,Break,Break,Break,Break

12.30-1.00,Break,Break,Break,Break,Break,Break

1.00-1.30,CO,Comms-2A,,,,

1.30-2.00,CO,Comms-2A,DS,,,EIS
2.00-2.30,CO,CO,DS,,,EIS
2.30-3.00,,CO,DS,,,EIS
3.00-3.30,,CO,DS,,,EIS
3.30-4.00,Comms-2A,,,,,EIS
4.00-4.30,Comms-2A,,,,,EIS
4.30-5.00,,,,,,

5.00-5.30,,,,,,

5.30-6.00,,,,,,

