Days ,Mon,Tue,Wed,Thurs,Fri,Sat

8.00-8.30,BEC,DEC,DEC,,,

8.30-9.00,BEC,DEC,DEC,,ITWS,

9.00-9.30,BEC,DEC,DEC,,ITWS,

9.30-10.00,,DEC,DEC,BEC,ITWS,

10.00-10.30,,,,BEC,,

10.30-11.00,Comms-2C2,,,BEC,DS,

11.00-11.30,Comms-2C2,,,,DS,

11.30-12.00,,,,,DS,

12.00-12.30,Break,Break,Break,Break,Break,Break

12.30-1.00,Break,Break,Break,Break,Break,Break

1.00-1.30,,,ITWS,,,

1.30-2.00,,,ITWS,,,CNN
2.00-2.30,,,ITWS,,,CNN
2.30-3.00,BEC-LAB,,,DS,,

3.00-3.30,BEC-LAB,,Comms-2C2,DS,Comms-2C2,

3.30-4.00,BEC-LAB,,Comms-2C2,DS,,

4.00-4.30,BEC-LAB,,,,,

4.30-5.00,BEC-LAB,,CNN,ITWS,,ITWS
5.00-5.30,BEC-LAB,,CNN,ITWS,,ITWS
5.30-6.00,,,,ITWS,,ITWS
